,name,author,number of ratings,url,avg_ratings
179,"  Red Sister (Book of the Ancestor, #1)",Mark  Lawrence (Goodreads Author),"47,002",https://www.goodreads.com//book/show/25895524-red-sister,4.15
180,"  The King of Attolia (The Queen's Thief, #3)",Megan Whalen Turner (Goodreads Author),"33,513",https://www.goodreads.com//book/show/40159.The_King_of_Attolia,4.38
181,  Der Ring des Nibelungen,Richard Wagner,723,https://www.goodreads.com//book/show/24067691-der-ring-des-nibelungen,4.31
182,"  Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,avg,https://www.goodreads.com//book/show/43763.Interview_with_the_Vampire,really
183,"  The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael Scott (Goodreads Author),"145,873",https://www.goodreads.com//book/show/977841.The_Alchemyst,3.84
184,"  The Crown Tower (The Riyria Chronicles, #1)",Michael J. Sullivan (Goodreads Author),"31,099",https://www.goodreads.com//book/show/16043804-the-crown-tower,4.33
185,"  The Emperor's Blades (Chronicle of the Unhewn Throne, #1)",Brian Staveley (Goodreads Author),"38,140",https://www.goodreads.com//book/show/17910124-the-emperor-s-blades,4.06
186,"  Malice (The Faithful and the Fallen, #1)",John Gwynne (Goodreads Author),"16,912",https://www.goodreads.com//book/show/15750692-malice,4.14
187,  Death-Devoted Heart: Sex and the Sacred in Wagner's Tristan and Isolde,Roger Scruton,116,https://www.goodreads.com//book/show/124153.Death_Devoted_Heart,4.11
188,"  Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,"115,244",https://www.goodreads.com//book/show/6043781-blood-of-elves,4.10
189,  The Tristan Chord: Wagner and Philosophy,Bryan Magee,468,https://www.goodreads.com//book/show/164152.The_Tristan_Chord,4.38
190,"  Rise of Empire (The Riyria Revelations, #3-4)",Michael J. Sullivan (Goodreads Author),"42,298",https://www.goodreads.com//book/show/10790277-rise-of-empire,4.37
191,"  Heir of Fire (Throne of Glass, #3)",Sarah J. Maas (Goodreads Author),"300,927",https://www.goodreads.com//book/show/20613470-heir-of-fire,4.47
192,"  Circle of Reign (The Dying Lands Chronicle, #1)",Jacob  Cooper (Goodreads Author),816,https://www.goodreads.com//book/show/22845353-circle-of-reign,3.94
193,"  Thieves' World (Thieves' World, #1)",Robert Lynn Asprin (Editor),"7,351",https://www.goodreads.com//book/show/552357.Thieves_World,3.84
194,"  Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas (Goodreads Author),"363,033",https://www.goodreads.com//book/show/17167166-crown-of-midnight,4.41
195,"  The Outstretched Shadow (Obsidian Mountain, #1)",Mercedes Lackey,"10,647",https://www.goodreads.com//book/show/176843.The_Outstretched_Shadow,4.02
196,"  A Memory of Light (The Wheel of Time, #14)",Robert Jordan,"112,530",https://www.goodreads.com//book/show/7743175-a-memory-of-light,4.50
197,  Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,"34,545",https://www.goodreads.com//book/show/7329.Unfinished_Tales_of_N_menor_and_Middle_Earth,3.93
198,"  Priestess of the White (Age of the Five, #1)",Trudi Canavan,"15,598",https://www.goodreads.com//book/show/28248.Priestess_of_the_White,3.86
199,  Horn-Horn (The Horn-Horn Series),A.D.T. McLellan (Goodreads Author),77,https://www.goodreads.com//book/show/36594385-horn-horn,4.51
200,  Abarat,Clive Barker (Goodreads Author),"25,873",https://www.goodreads.com//book/show/768878.Abarat,4.09
201,"  Split Infinity (Apprentice Adept, #1)",Piers Anthony,"16,631",https://www.goodreads.com//book/show/99461.Split_Infinity,3.97
202,  Ill Met in Lankhmar (Fafhrd and the Gray Mouser #1-2),Fritz Leiber,"2,738",https://www.goodreads.com//book/show/102266.Ill_Met_in_Lankhmar,4.16
203,"  Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman (Goodreads Author),"216,951",https://www.goodreads.com//book/show/23754.Preludes_Nocturnes,4.23
204,  The Winter King (The Warlord Chronicles #1),Bernard Cornwell (Goodreads Author),"37,984",https://www.goodreads.com//book/show/68520.The_Winter_King,4.26
205,  Jonathan Strange & Mr Norrell,Susanna Clarke,"205,844",https://www.goodreads.com//book/show/14201.Jonathan_Strange_Mr_Norrell,3.82
206,"  Paladin of Souls (World of the Five Gods, #2)",Lois McMaster Bujold (Goodreads Author),"21,849",https://www.goodreads.com//book/show/61904.Paladin_of_Souls,4.16
207,"  Another Fine Myth (Myth Adventures, #1)",Robert Lynn Asprin,"21,767",https://www.goodreads.com//book/show/64401.Another_Fine_Myth,4.05
208,  The Stand,Stephen King (Goodreads Author),"630,729",https://www.goodreads.com//book/show/149267.The_Stand,4.34
209,"  Fool's Fate (Tawny Man, #3)",Robin Hobb (Goodreads Author),"64,103",https://www.goodreads.com//book/show/45108.Fool_s_Fate,4.42
210,"  Sword in the Storm (The Rigante, #1)",David Gemmell,"10,270",https://www.goodreads.com//book/show/62292.Sword_in_the_Storm,4.27
211,"  The Magicians (The Magicians, #1)",Lev Grossman (Goodreads Author),"239,035",https://www.goodreads.com//book/show/6101718-the-magicians,3.52
212,"  Watership Down (Watership Down, #1)",Richard  Adams,"441,168",https://www.goodreads.com//book/show/76620.Watership_Down,4.06
213,"  Magyk (Septimus Heap, #1)",Angie Sage,"114,014",https://www.goodreads.com//book/show/769483.Magyk,3.82
214,  Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,"34,873",https://www.goodreads.com//book/show/672875.Le_Morte_d_Arthur,3.92
215,"  Shadowmarch (Shadowmarch, #1)",Tad Williams (Goodreads Author),"11,311",https://www.goodreads.com//book/show/28694.Shadowmarch,3.74
216,  Fireborn,James Dwyer (Goodreads Author),66,https://www.goodreads.com//book/show/25188051-fireborn,4.26
217,  Crown Duel (Crown & Court #1-2),Sherwood Smith (Goodreads Author),"24,239",https://www.goodreads.com//book/show/21060.Crown_Duel,4.19
218,  Swan Song,Robert R. McCammon,"56,455",https://www.goodreads.com//book/show/11557.Swan_Song,4.28
219,"  Terrier (Beka Cooper, #1)",Tamora Pierce (Goodreads Author),"67,523",https://www.goodreads.com//book/show/13829.Terrier,4.11
220,  The Epic of Gilgamesh,Anonymous,"81,924",https://www.goodreads.com//book/show/19351.The_Epic_of_Gilgamesh,3.70
221,"  Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"7,290,808",https://www.goodreads.com//book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,4.48
222,"  A Crown of Swords (The Wheel of Time, #7)",Robert Jordan,"130,165",https://www.goodreads.com//book/show/13890.A_Crown_of_Swords,4.03
223,  Haven of Dante: The Staff of Moshe,Leonardo Ramirez,49,https://www.goodreads.com//book/show/18364299-haven-of-dante,4.22
224,"  The Fires of Heaven (The Wheel of Time, #5)",Robert Jordan,"143,383",https://www.goodreads.com//book/show/13895.The_Fires_of_Heaven,4.15
225,"  Promise of Blood (Powder Mage, #1)",Brian  McClellan (Goodreads Author),"45,969",https://www.goodreads.com//book/show/15790883-promise-of-blood,4.11
226,  Tales of the Dying Earth,Jack Vance,"4,896",https://www.goodreads.com//book/show/40866.Tales_of_the_Dying_Earth,4.14
227,"  First Test (Protector of the Small, #1)",Tamora Pierce (Goodreads Author),"58,611",https://www.goodreads.com//book/show/153784.First_Test,4.19
228,"  Trickster's Choice (Daughter of the Lioness, #1)",Tamora Pierce (Goodreads Author),"64,590",https://www.goodreads.com//book/show/24431.Trickster_s_Choice,4.21
229,"  The Mirror of Her Dreams (Mordant's Need, #1)",Stephen R. Donaldson,"13,129",https://www.goodreads.com//book/show/177250.The_Mirror_of_Her_Dreams,3.92
230,"  The Baker's Boy (Book of Words, #1)",J.V. Jones,"7,615",https://www.goodreads.com//book/show/29137.The_Baker_s_Boy,3.79
231,"  Transformation (Rai-Kirah, #1)",Carol Berg (Goodreads Author),"6,894",https://www.goodreads.com//book/show/618196.Transformation,3.99
232,"  The Witches of Eileanan (The Witches of Eileanan, #1)",Kate Forsyth (Goodreads Author),"6,260",https://www.goodreads.com//book/show/264069.The_Witches_of_Eileanan,4.01
233,"  Bridge of Birds (The Chronicles of Master Li and Number Ten Ox, #1)",Barry Hughart,"9,602",https://www.goodreads.com//book/show/15177.Bridge_of_Birds,4.29
234,  Uprooted,Naomi Novik (Goodreads Author),"176,299",https://www.goodreads.com//book/show/22544764-uprooted,4.06
235,  The Last Light of the Sun,Guy Gavriel Kay (Goodreads Author),"8,050",https://www.goodreads.com//book/show/104080.The_Last_Light_of_the_Sun,3.94
236,  So You Want to Be a Wizard (Young Wizards #1),Diane Duane (Goodreads Author),"25,782",https://www.goodreads.com//book/show/116563.So_You_Want_to_Be_a_Wizard,3.83
237,"  The Land: Raiders (Chaos Seeds, #6)",Aleron Kong (Goodreads Author),"9,772",https://www.goodreads.com//book/show/34040263-the-land,4.45
238,  Shapechangers (Chronicles of the Cheysuli #1),Jennifer Roberson (Goodreads Author),"3,793",https://www.goodreads.com//book/show/1046558.Shapechangers,3.92
239,  The Screwtape Letters,C.S. Lewis,"341,439",https://www.goodreads.com//book/show/11149.The_Screwtape_Letters,4.23
240,  Taliesin (The Pendragon Cycle #1),Stephen R. Lawhead,"15,581",https://www.goodreads.com//book/show/73906.Taliesin,3.99
241,"  The Complete Book of Swords (Books of Swords, #1-3)",Fred Saberhagen,"3,397",https://www.goodreads.com//book/show/16488.The_Complete_Book_of_Swords,4.05
242,"  Under Heaven (Under Heaven, #1)",Guy Gavriel Kay (Goodreads Author),"13,238",https://www.goodreads.com//book/show/7139892-under-heaven,4.15
243,"  Joust (Dragon Jousters, #1)",Mercedes Lackey,"10,927",https://www.goodreads.com//book/show/13993.Joust,4.02
244,"  Bitterblue (Graceling Realm, #3)",Kristin Cashore,"105,430",https://www.goodreads.com//book/show/12680907-bitterblue,3.99
245,  Winds of Fate (Mage Winds #1),Mercedes Lackey,"15,893",https://www.goodreads.com//book/show/13995.Winds_of_Fate,4.04
246,"  Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"578,655",https://www.goodreads.com//book/show/37442.Wicked,3.54
247,"  A Shadow in Summer (Long Price Quartet, #1)",Daniel Abraham,"11,421",https://www.goodreads.com//book/show/208.A_Shadow_in_Summer,3.61
248,"  Wit'ch Fire (The Banned and the Banished, #1)",James Clemens (Goodreads Author),"6,414",https://www.goodreads.com//book/show/872109.Wit_ch_Fire,3.91
249,"  Crossroads of Twilight (The Wheel of Time, #10)",Robert Jordan,"95,694",https://www.goodreads.com//book/show/113435.Crossroads_of_Twilight,3.81
250,  Origins,Angelo Tsanatelis (Goodreads Author),54,https://www.goodreads.com//book/show/11390271-origins,3.87
251,"  The Waste Lands (The Dark Tower, #3)",Stephen King (Goodreads Author),"191,411",https://www.goodreads.com//book/show/34084.The_Waste_Lands,4.22
252,"  Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,"133,404",https://www.goodreads.com//book/show/35231.Lord_of_Chaos,4.13
253,"  Dragonquest (Pern, #2)",Anne McCaffrey,"47,645",https://www.goodreads.com//book/show/127584.Dragonquest,4.06
254,"  Mythago Wood (Mythago Wood, #1)",Robert Holdstock,"8,602",https://www.goodreads.com//book/show/126192.Mythago_Wood,3.81
255,  The Fish the Fighters and the Song-Girl,Janet E. Morris (Goodreads Author),147,https://www.goodreads.com//book/show/14744360-the-fish-the-fighters-and-the-song-girl,4.59
256,"  Sword-Dancer (Tiger and Del, #1)",Jennifer Roberson (Goodreads Author),"7,609",https://www.goodreads.com//book/show/127645.Sword_Dancer,3.99
257,"  A Cavern of Black Ice (Sword of Shadows, #1)",J.V. Jones,"8,746",https://www.goodreads.com//book/show/24249.A_Cavern_of_Black_Ice,3.87
258,"  The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch (Goodreads Author),"87,853",https://www.goodreads.com//book/show/2890090-the-republic-of-thieves,4.20
259,"  The Land: Founding (Chaos Seeds, #1)",Aleron Kong (Goodreads Author),"22,187",https://www.goodreads.com//book/show/34234639-the-land,4.06
260,"  The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"2,401,933",https://www.goodreads.com//book/show/34.The_Fellowship_of_the_Ring,4.37
261,"  Dragondrums (Harper Hall, #3)",Anne McCaffrey,"32,573",https://www.goodreads.com//book/show/28553.Dragondrums,4.08
262,"  The Soulforge (Dragonlance: Raistlin Chronicles, #1)",Margaret Weis (Goodreads Author),"10,109",https://www.goodreads.com//book/show/28524.The_Soulforge,4.16
263,  The Destroyer,Michael-Scott Earle (Goodreads Author),"3,457",https://www.goodreads.com//book/show/29227508-the-destroyer,4.02
264,"  The Path of Daggers (The Wheel of Time, #8)",Robert Jordan,"112,027",https://www.goodreads.com//book/show/140974.The_Path_of_Daggers,3.91
265,"  A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas (Goodreads Author),"523,007",https://www.goodreads.com//book/show/16096824-a-court-of-thorns-and-roses,4.22
266,"  The Desert Spear (Demon Cycle, #2)",Peter V. Brett (Goodreads Author),"81,234",https://www.goodreads.com//book/show/6736971-the-desert-spear,4.19
267,"  Lord Valentine's Castle (Lord Valentine, #1)",Robert Silverberg,"8,703",https://www.goodreads.com//book/show/252838.Lord_Valentine_s_Castle,3.89
268,"  The Darkangel (Darkangel Trilogy, #1)",Meredith Ann Pierce,"8,888",https://www.goodreads.com//book/show/92717.The_Darkangel,3.90
269,"  Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"509,069",https://www.goodreads.com//book/show/249747.Artemis_Fowl,3.85
270,"  Winter's Heart (The Wheel of Time, #9)",Robert Jordan,"107,524",https://www.goodreads.com//book/show/13891.Winter_s_Heart,3.94
271,"  A Spell for Chameleon (Xanth, #1)",Piers Anthony,"44,807",https://www.goodreads.com//book/show/76664.A_Spell_for_Chameleon,3.90
272,"  Red Country (First Law World, #6)",Joe Abercrombie,"35,638",https://www.goodreads.com//book/show/13521459-red-country,4.30
273,"  The Steel Remains (A Land Fit for Heroes, #1)",Richard K. Morgan,"14,871",https://www.goodreads.com//book/show/3314369-the-steel-remains,3.74
274,"  Gregor the Overlander (Underland Chronicles, #1)",Suzanne Collins,"95,764",https://www.goodreads.com//book/show/262430.Gregor_the_Overlander,3.99
275,"  The Black Witch (The Black Witch Chronicles, #1)",Laurie Forest (Goodreads Author),"18,833",https://www.goodreads.com//book/show/25740412-the-black-witch,4.08
276,"  Towers of Midnight (The Wheel of Time, #13)",Robert Jordan,"128,921",https://www.goodreads.com//book/show/8253920-towers-of-midnight,4.42
277,"  Fawcetta (Voices and Echoes of the Coliseum, #1)",Dalian Artanian (Goodreads Author),84,https://www.goodreads.com//book/show/6746405-fawcetta,4.13
278,"  Inborn (The Sagas of Di'Ghon, #1)",John LeViness (Goodreads Author),133,https://www.goodreads.com//book/show/13665333-inborn,3.66
279,  The Stonegate Sword  (Stonegate #1),Harry James Fox (Goodreads Author),98,https://www.goodreads.com//book/show/25312178-the-stonegate-sword,4.26
280,"  The Land: Catacombs (Chaos Seeds, #4)",Aleron Kong (Goodreads Author),"10,079",https://www.goodreads.com//book/show/34234731-the-land,4.34
281,"  City of Golden Shadow (Otherland, #1)",Tad Williams (Goodreads Author),"25,407",https://www.goodreads.com//book/show/28695.City_of_Golden_Shadow,3.92
282,"  The Ruins of Ambrai (Exiles, #1)",Melanie Rawn,"8,896",https://www.goodreads.com//book/show/185292.The_Ruins_of_Ambrai,4.06
283,"  A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"801,922",https://www.goodreads.com//book/show/10572.A_Clash_of_Kings,4.41
284,"  Stone of Farewell (Memory, Sorrow, and Thorn, #2)",Tad Williams (Goodreads Author),"46,836",https://www.goodreads.com//book/show/28689.Stone_of_Farewell,4.06
285,"  Heroes Die (The Acts of Caine, #1)",Matthew Woodring Stover,"11,011",https://www.goodreads.com//book/show/311864.Heroes_Die,4.09
286,"  Kushiel's Chosen (Phèdre's Trilogy, #2)",Jacqueline Carey (Goodreads Author),"39,618",https://www.goodreads.com//book/show/395962.Kushiel_s_Chosen,4.24
287,  The Octunnumi Fosbit Files Prologue,Trevor Alan Foris (Goodreads Author),"9,046",https://www.goodreads.com//book/show/40034669-the-octunnumi-fosbit-files-prologue,4.22
288,"  The Mad Ship (Liveship Traders, #2)",Robin Hobb (Goodreads Author),"53,620",https://www.goodreads.com//book/show/45101.The_Mad_Ship,4.20
289,"  Inda (Inda, #1)",Sherwood Smith (Goodreads Author),"4,318",https://www.goodreads.com//book/show/222837.Inda,4.01
290,"  Knife of Dreams (The Wheel of Time, #11)",Robert Jordan,"104,886",https://www.goodreads.com//book/show/13888.Knife_of_Dreams,4.14
291,  The Dying Earth (The Dying Earth #1),Jack Vance,"7,646",https://www.goodreads.com//book/show/951749.The_Dying_Earth,3.92
292,  Faerie Tale,Raymond E. Feist,"9,756",https://www.goodreads.com//book/show/43919.Faerie_Tale,3.88
293,  The Worm Ouroboros,E.R. Eddison,"4,186",https://www.goodreads.com//book/show/13624.The_Worm_Ouroboros,3.70
294,"  Night Watch (Discworld, #29; City Watch, #6)",Terry Pratchett,"97,001",https://www.goodreads.com//book/show/47989.Night_Watch,4.48
295,"  Shadow of a Dark Queen (The Serpentwar Saga, #1)",Raymond E. Feist,"26,870",https://www.goodreads.com//book/show/43908.Shadow_of_a_Dark_Queen,4.06
296,"  The Dragon and the George (Dragon Knight, #1)",Gordon R. Dickson,"6,005",https://www.goodreads.com//book/show/114936.The_Dragon_and_the_George,3.90
297,"  Ship of Destiny (Liveship Traders, #3)",Robin Hobb (Goodreads Author),"60,735",https://www.goodreads.com//book/show/45102.Ship_of_Destiny,4.20
298,"  Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo (Goodreads Author),"334,954",https://www.goodreads.com//book/show/10194157-shadow-and-bone,3.99
299,"  The Last Enchantment (Arthurian Saga, #3)",Mary  Stewart,"14,428",https://www.goodreads.com//book/show/64105.The_Last_Enchantment,4.17
300,"  Son of Avonar (The Bridge of D'Arnath, #1)",Carol Berg (Goodreads Author),"3,039",https://www.goodreads.com//book/show/437786.Son_of_Avonar,3.77
301,"  Magician's Gambit (The Belgariad, #3)",David Eddings,"87,838",https://www.goodreads.com//book/show/44688.Magician_s_Gambit,4.12
302,"  Small Gods (Discworld, #13)",Terry Pratchett,"100,683",https://www.goodreads.com//book/show/34484.Small_Gods,4.30
303,"  Six of Crows (Six of Crows, #1)",Leigh Bardugo (Goodreads Author),"348,399",https://www.goodreads.com//book/show/23437156-six-of-crows,4.42
304,"  The Past (VanWest, #1)",Kenneth,,https://www.goodreads.com//book/show/53450218-the-past,Thomas
305,  The Mabinogion Tetralogy,Evangeline Walton,"1,063",https://www.goodreads.com//book/show/168525.The_Mabinogion_Tetralogy,4.21
306,"  Acacia: The War with the Mein (Acacia, #1)",David Anthony Durham (Goodreads Author),"8,530",https://www.goodreads.com//book/show/565335.Acacia,3.57
307,"  Queen of Sorcery (The Belgariad, #2)",David Eddings,"68,360",https://www.goodreads.com//book/show/587582.Queen_of_Sorcery,4.11
308,"  Enchanters' End Game (The Belgariad, #5)",David Eddings,"88,849",https://www.goodreads.com//book/show/44687.Enchanters_End_Game,4.16
309,  The Complete Fairy Tales of The Brothers Grimm,Jacob Grimm,"148,899",https://www.goodreads.com//book/show/22916.The_Complete_Fairy_Tales_of_The_Brothers_Grimm,4.27
310,"  Golden Fool (Tawny Man, #2)",Robin Hobb (Goodreads Author),"69,368",https://www.goodreads.com//book/show/45109.Golden_Fool,4.30
311,  Deep World Fire  (Deep World Saga #1),C.M. Meridian (Goodreads Author),50,https://www.goodreads.com//book/show/29587324-deep-world-fire,4.16
312,"  The Warrior Heir (The Heir Chronicles, #1)",Cinda Williams Chima (Goodreads Author),"48,702",https://www.goodreads.com//book/show/213647.The_Warrior_Heir,3.94
313,"  The Riddle-Master of Hed (Riddle-Master, #1)",Patricia A. McKillip,"11,657",https://www.goodreads.com//book/show/92755.The_Riddle_Master_of_Hed,4.01
314,  The King of Elfland's Daughter,Lord Dunsany,"6,134",https://www.goodreads.com//book/show/14686.The_King_of_Elfland_s_Daughter,3.83
315,"  Blood Borne (Cathedral Chronicles, #1)",Elizabeth Wixley,137,https://www.goodreads.com//book/show/20882143-blood-borne,4.43
316,  The Dream-Quest of Unknown Kadath,H.P. Lovecraft,avg,https://www.goodreads.com//book/show/722667.The_Dream_Quest_of_Unknown_Kadath,really
317,"  The Novice (Black Magician Trilogy, #2)",Trudi Canavan,"54,183",https://www.goodreads.com//book/show/28250.The_Novice,4.05
318,"  The Other Wind (Earthsea Cycle, #6)",Ursula K. Le Guin,"19,867",https://www.goodreads.com//book/show/13658.The_Other_Wind,4.14
319,"  The Time of the Dark (Darwath, #1)",Barbara Hambly (Goodreads Author),"5,059",https://www.goodreads.com//book/show/176277.The_Time_of_the_Dark,3.98
320,"  The Magician's Apprentice (Black Magician, #0.5)",Trudi Canavan,"22,475",https://www.goodreads.com//book/show/3342764-the-magician-s-apprentice,3.96
321,"  Half a King (Shattered Sea, #1)",Joe Abercrombie,"53,820",https://www.goodreads.com//book/show/18666047-half-a-king,3.95
322,"  An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir (Goodreads Author),"194,135",https://www.goodreads.com//book/show/27774758-an-ember-in-the-ashes,4.27
323,"  The Drawing of the Three (The Dark Tower, #2)",Stephen King (Goodreads Author),"222,934",https://www.goodreads.com//book/show/5094.The_Drawing_of_the_Three,4.21
324,"  The Liar's Key (The Red Queen's War, #2)",Mark  Lawrence (Goodreads Author),"16,673",https://www.goodreads.com//book/show/22852698-the-liar-s-key,4.25
325,"  The Daylight War (Demon Cycle, #3)",Peter V. Brett (Goodreads Author),"54,261",https://www.goodreads.com//book/show/9268487-the-daylight-war,4.21
326,"  The Elfstones of Shannara  (The Original Shannara Trilogy, #2)",Terry Brooks (Goodreads Author),"68,998",https://www.goodreads.com//book/show/189783.The_Elfstones_of_Shannara,3.95
327,"  Inkheart (Inkworld, #1)",Cornelia Funke (Goodreads Author),"381,328",https://www.goodreads.com//book/show/28194.Inkheart,3.88
328,"  The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,"131,365",https://www.goodreads.com//book/show/1166599.The_Gathering_Storm,4.36
329,  The Great and Secret Show (Book of the Art #1),Clive Barker (Goodreads Author),"28,742",https://www.goodreads.com//book/show/32628.The_Great_and_Secret_Show,4.06
330,  The Return of the Dragons,Kenneth Kappelmann,53,https://www.goodreads.com//book/show/18002053-the-return-of-the-dragons,4.53
331,  In The Devil's Own Words,Elizabeth Wixley,164,https://www.goodreads.com//book/show/15761926-in-the-devil-s-own-words,4.38
332,  The Lone Apprentice,I.K. Spencer (Goodreads Author),38,https://www.goodreads.com//book/show/20923990-the-lone-apprentice,4.05
333,"  By the Sword (Valdemar, #9)",Mercedes Lackey,"19,745",https://www.goodreads.com//book/show/28735.By_the_Sword,4.25
334,"  Dune (Dune Chronicles, #1)",Frank Herbert,"808,064",https://www.goodreads.com//book/show/234225.Dune,4.23
335,"  The Lament of the Stone (Stonewiser, #3)",Dora Machado (Goodreads Author),117,https://www.goodreads.com//book/show/9245759-the-lament-of-the-stone,4.01
336,"  Fool's Assassin (The Fitz and the Fool, #1)",Robin Hobb (Goodreads Author),"42,924",https://www.goodreads.com//book/show/19288321-fool-s-assassin,4.38
337,"  Neverwhere (London Below, #1)",Neil Gaiman (Goodreads Author),"440,034",https://www.goodreads.com//book/show/14497.Neverwhere,4.16
338,  Waylander (The Drenai Saga #3),David Gemmell,"18,082",https://www.goodreads.com//book/show/568099.Waylander,4.28
339,"  Wizard and Glass (The Dark Tower, #4)",Stephen King (Goodreads Author),"171,520",https://www.goodreads.com//book/show/5096.Wizard_and_Glass,4.23
340,"  Wolfskin (Saga of the Light Isles, #1)",Juliet Marillier (Goodreads Author),"6,612",https://www.goodreads.com//book/show/13922.Wolfskin,4.02
341,"  Armageddon's Children (Genesis of Shannara, #1)",Terry Brooks (Goodreads Author),"15,453",https://www.goodreads.com//book/show/15549.Armageddon_s_Children,4.11
342,"  The Book of Lost Tales, Part One (The History of Middle-Earth, #1)",J.R.R. Tolkien,"13,022",https://www.goodreads.com//book/show/7347.The_Book_of_Lost_Tales_Part_One,3.84
343,"  Parish Secrets (Parish Secrets, #1)",Megan White (Goodreads Author),95,https://www.goodreads.com//book/show/15744546-parish-secrets,3.65
344,"  The False Prophet (Stonegate, #2)",Harry James Fox (Goodreads Author),59,https://www.goodreads.com//book/show/33913854-the-false-prophet,4.51
345,"  The Shadow of the Torturer (The Book of the New Sun, #1)",Gene Wolfe,"21,809",https://www.goodreads.com//book/show/60211.The_Shadow_of_the_Torturer,3.80
346,"  Titus Groan (Gormenghast, #1)",Mervyn Peake,"16,103",https://www.goodreads.com//book/show/39063.Titus_Groan,3.91
347,  Take a Thief (Valdemar #25),Mercedes Lackey,"12,888",https://www.goodreads.com//book/show/28733.Take_a_Thief,4.13
348,  The Lost Years of Merlin,T.A. Barron (Goodreads Author),"18,343",https://www.goodreads.com//book/show/18392.The_Lost_Years_of_Merlin,3.98
349,  The Shadow Crucible,T.M. Lakomy (Goodreads Author),96,https://www.goodreads.com//book/show/31305863-the-shadow-crucible,4.04
350,  Suldrun's Garden (Lyonesse #1),Jack Vance,"5,022",https://www.goodreads.com//book/show/40869.Suldrun_s_Garden,3.94
351,"  Wolves of the Calla (The Dark Tower, #5)",Stephen King (Goodreads Author),"162,040",https://www.goodreads.com//book/show/4978.Wolves_of_the_Calla,4.16
352,"  Myrren's Gift (The Quickening, #1)",Fiona McIntosh (Goodreads Author),"4,648",https://www.goodreads.com//book/show/450692.Myrren_s_Gift,3.85
353,  The Written (Emaneska #1),Ben Galley (Goodreads Author),"1,610",https://www.goodreads.com//book/show/10754265-the-written,3.71
354,  The Summer Tree (The Fionavar Tapestry #1),Guy Gavriel Kay (Goodreads Author),"21,548",https://www.goodreads.com//book/show/104086.The_Summer_Tree,3.98
355,"  Dragon Eaters (Heroika, #1)",Janet E. Morris (Goodreads Author),119,https://www.goodreads.com//book/show/25744891-dragon-eaters,4.55
356,"  Shaman's Crossing (Soldier Son, #1)",Robin Hobb (Goodreads Author),"20,629",https://www.goodreads.com//book/show/45110.Shaman_s_Crossing,3.47
357,"  Ilse Witch (Voyage of the Jerle Shannara, #1)",Terry Brooks (Goodreads Author),"17,363",https://www.goodreads.com//book/show/15560.Ilse_Witch,3.97
358,"  Chronicles of the Black Company (The Chronicles of the Black Company, #1-3)",Glen Cook,"22,645",https://www.goodreads.com//book/show/400924.Chronicles_of_the_Black_Company,4.22
359,  The Firebrand,Marion Zimmer Bradley,"9,720",https://www.goodreads.com//book/show/1203471.The_Firebrand,4.06
360,"  The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"6,541,021",https://www.goodreads.com//book/show/2767052-the-hunger-games,4.33
361,"  Changes (The Dresden Files, #12)",Jim Butcher (Goodreads Author),"100,909",https://www.goodreads.com//book/show/6585201-changes,4.49
362,  The Ruins of Gorlan / The Burning Bridge / The Icebound Land (Ranger's Apprentice #1-3),John Flanagan,"10,397",https://www.goodreads.com//book/show/3218719-the-ruins-of-gorlan-the-burning-bridge-the-icebound-land,4.49
363,"  The Wheel of Osheim (The Red Queen's War, #3)",Mark  Lawrence (Goodreads Author),"13,470",https://www.goodreads.com//book/show/27154427-the-wheel-of-osheim,4.34
364,"  The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,"94,241",https://www.goodreads.com//book/show/13662.The_Tombs_of_Atuan,4.08
365,"  The Swords Trilogy (Corum, #1-3)",Michael Moorcock,"2,481",https://www.goodreads.com//book/show/399373.The_Swords_Trilogy,4.07
366,"  A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"639,406",https://www.goodreads.com//book/show/13497.A_Feast_for_Crows,4.14
